model,n,source,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,image_R@5_mean,image_R@5_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std
Gated ReGraph,24,reports/neurips_report/may30.tex: Table tab:graph_only,0.8192,0.0502,0.794,0.051,0.0802,0.0322,0.0639,0.0213,0.0075,0.0028,0.0075,0.0022,,
Gated ReGraph + CLIP,24,reports/neurips_report/may30.tex: Table tab:graph_only,0.8259,0.0413,0.8065,0.046,0.0899,0.0356,0.0695,0.024,0.0847,0.0357,0.0996,0.0369,,
