item,status,evidence
bundle module imports,ready,loaded make_anonymous_submission_bundle.py
bundled Python files discovered,ready,34 Python files
bundled Python files exist,ready,all bundled Python files exist
bundled Python syntax,ready,34 files compiled with py_compile
