model,n,source,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,image_R@5_mean,image_R@5_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std
Default top-k,1,reports/neurips_report/may30.tex: Table tab:adjacency_perturbation,0.5386,0.0611,0.5287,0.0495,0.0127,0.0077,0.0153,0.0062,,,0.0103,0.0049,,
No adjacency,1,reports/neurips_report/may30.tex: Table tab:adjacency_perturbation,0.5337,0.0416,0.5251,0.0323,0.0129,0.0067,0.0153,0.0049,,,0.0099,0.0056,,
Identity,1,reports/neurips_report/may30.tex: Table tab:adjacency_perturbation,0.534,0.0601,0.5271,0.0505,0.0128,0.0104,0.0159,0.0084,,,0.0102,0.0051,,
Random,1,reports/neurips_report/may30.tex: Table tab:adjacency_perturbation,0.543,0.0734,0.5332,0.0604,0.0138,0.0078,0.016,0.0072,,,0.0099,0.0053,,
Drop 50%,1,reports/neurips_report/may30.tex: Table tab:adjacency_perturbation,0.5392,0.0632,0.5301,0.0492,0.0146,0.0078,0.0159,0.006,,,0.0098,0.0053,,
