fold,seed,mode,k,repeat,test_loss,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,n_test_pairs,baseline_AUROC,baseline_AUPRC,baseline_R@5,baseline_MRR,baseline_brain_R@5,baseline_brain_MRR,AUROC_drop,AUPRC_drop,R@5_drop,MRR_drop,brain_R@5_drop,brain_MRR_drop
fold_01,11,baseline,0,0,0.568718305248297,0.8246089042501862,0.7958296751129693,0.72236727589208,0.0156657963446475,0.0652741514360313,0.1135770234986945,0.0533061083044648,0.0178416013925152,0.0630983463881636,0.1127067014795474,0.0543112988341297,90.0,0.0217580504786771,0.0957354221061792,0.1553524804177545,0.0710997633566489,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0,0.0,0.0,0.0,0.0,0.0
fold_01,11,top_gate,5,0,1.025173184973349,0.7530249181753385,0.7313161350901017,0.5317667536988686,0.0134899912967798,0.0561357702349869,0.0983463881636205,0.0465100379019911,0.0065274151436031,0.0317667536988685,0.0504786771105308,0.0273623098925938,211.0,0.0108790252393385,0.0504786771105308,0.0905134899912967,0.0433371062096174,112.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.07158398607484773,0.06451354002286758,0.009138381201044397,0.0067960704024737015,0.045256744995648406,0.0277626571470315
fold_01,11,bottom_gate,5,0,0.5762566618550021,0.8232167866862697,0.7939929950008274,0.713881636205396,0.0147954743255004,0.0617928633594429,0.1061792863359443,0.0524817463561074,0.0156657963446475,0.0648389904264577,0.1122715404699739,0.0526810256284969,91.0,0.0187119234116623,0.0918189730200174,0.1562228024369016,0.0689188976564009,59.5,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0013921175639164396,0.0018366801121418863,0.0034812880765883944,0.0008243619483573952,0.003916449086161802,0.0021808657002480025
fold_01,11,random,5,1,0.5624768623484021,0.823118222149506,0.7933260638897498,0.7275892080069626,0.0165361183637946,0.0591818973020017,0.109225413402959,0.0523706584740835,0.0169712793733681,0.0657093124456048,0.114012184508268,0.0544381275791186,88.0,0.0195822454308094,0.093124456048738,0.1601392515230635,0.0697093019668769,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0014906821006801518,0.002503611223219515,0.006092254134029598,0.0009354498303812964,0.002610966057441211,0.001390461389772002
fold_01,11,random,5,2,0.6230719894092949,0.807132493461223,0.7825178007651901,0.688207136640557,0.0165361183637946,0.0678851174934725,0.1135770234986945,0.0536383960426388,0.0152306353350739,0.057006092254134,0.1053089643167972,0.0500287079434627,105.0,0.016100957354221,0.0813751087902523,0.1462140992167102,0.0627341482978269,67.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.017476410788963226,0.013311874347779251,-0.002610966057441197,-0.00033228773817400165,0.01436031331592691,0.008365615058821996
fold_01,11,random,5,3,0.6077769174588256,0.8000305445913161,0.7738872231348509,0.6956048738033072,0.0156657963446475,0.0604873803307223,0.1040034812880765,0.0510421659402128,0.0178416013925152,0.0630983463881636,0.1074847693646649,0.0519955902514122,105.0,0.0187119234116623,0.0887728459530026,0.1557876414273281,0.0675562174575523,65.5,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.02457835965887012,0.021942451978118394,0.004786771105309,0.0022639423642520015,0.006962576153176608,0.003543545899096598
fold_01,11,random,5,4,0.5802348892101523,0.8184261335963235,0.786804175993878,0.711923411662315,0.0165361183637946,0.06266318537859,0.1109660574412532,0.0523061113984986,0.016100957354221,0.0639686684073107,0.1114012184508268,0.0530603506788927,91.0,0.0204525674499564,0.0922541340295909,0.1566579634464752,0.0705873319271185,59.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.006182770653862635,0.00902549911909134,0.002610966057441294,0.0009999969059662009,0.003481288076588304,0.000512431429530405
fold_01,11,random,5,5,0.692284141912784,0.8121263353080327,0.7813118501772599,0.6555700609225413,0.0156657963446475,0.0691906005221932,0.1105308964316797,0.0541583221414409,0.0134899912967798,0.0456919060052219,0.0874673629242819,0.0432931119377845,121.0,0.016100957354221,0.0813751087902523,0.1453437771975631,0.0627947471143898,65.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.012482568942153494,0.014517824935709411,-0.0039164490861618995,-0.000852213836976104,0.01436031331592691,0.0083050162422591
fold_01,11,random,5,6,0.5744713606058358,0.8196848434442937,0.7822425220507534,0.7212793733681462,0.0126196692776327,0.0596170583115752,0.1048738033072236,0.0493856905472642,0.0195822454308094,0.0665796344647519,0.1174934725848564,0.0580875940071844,84.0,0.0213228894691035,0.0939947780678851,0.1631853785900783,0.0725864073669994,58.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.004924060805892472,0.013587153062215918,0.0056570931244561,0.003920417757200596,0.0017406440382941035,-0.0014866440103504935
fold_01,11,random,5,7,0.5596806820939166,0.8383371168481163,0.8037186685769814,0.72236727589208,0.016100957354221,0.06266318537859,0.1096605744125326,0.0534702850834297,0.0174064403829416,0.0739773716275021,0.1314186248912097,0.060537750338184,71.0,0.0195822454308094,0.1061792863359443,0.1736292428198433,0.0760756232693988,50.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,-0.013728212597930112,-0.007888993464012062,0.002610966057441294,-0.00016417677896490152,-0.010443864229765093,-0.004975859912749903
