checkpoint_a,checkpoint_b,pearson_corr,spearman_corr
fold_01_seed11,fold_01_seed22,0.9958532079865418,0.9909565110034259
fold_01_seed11,fold_01_seed33,0.9642868352410388,0.9371359198329167
fold_01_seed11,fold_02_seed11,0.9836395118896109,0.9697048262806464
fold_01_seed11,fold_02_seed22,0.9840591146670752,0.9665977344979783
fold_01_seed11,fold_02_seed33,0.9792441278363856,0.9656841260532733
fold_01_seed11,fold_03_seed11,0.9830875278535511,0.9728180910933465
fold_01_seed11,fold_03_seed22,0.9788029559928406,0.9642581561159295
fold_01_seed11,fold_03_seed33,0.9858393542076532,0.9737419879214378
fold_01_seed11,fold_04_seed11,0.9875301350994199,0.9733078181425352
fold_01_seed11,fold_04_seed22,0.9858142076711329,0.9769005216210377
fold_01_seed11,fold_04_seed33,0.9850276141902952,0.9670298466002037
fold_01_seed11,fold_05_seed11,0.985859572789962,0.9774746134139942
fold_01_seed11,fold_05_seed22,0.9873734679828129,0.9753531487597353
fold_01_seed11,fold_05_seed33,0.9747224479231701,0.9555521260944269
fold_01_seed11,fold_06_seed11,0.9844577092799863,0.9747461341399427
fold_01_seed11,fold_06_seed22,0.9642339420446986,0.9475848020000617
fold_01_seed11,fold_06_seed33,0.9800402314072201,0.9669681162998857
fold_01_seed11,fold_07_seed11,0.9853486464738956,0.9772482689794953
fold_01_seed11,fold_07_seed22,0.9826024664892139,0.9709620667304546
fold_01_seed11,fold_07_seed33,0.9833409243130311,0.9719929627457637
fold_01_seed11,fold_08_seed11,0.9881044400128071,0.9790261016286511
fold_01_seed11,fold_08_seed22,0.9775311945314343,0.9569678076483841
fold_01_seed11,fold_08_seed33,0.9619529749510267,0.9172546477771947
fold_01_seed22,fold_01_seed33,0.9608889652304823,0.9179007582538554
fold_01_seed22,fold_02_seed11,0.9805350792022474,0.9617477905696677
fold_01_seed22,fold_02_seed22,0.9851775239960588,0.9689949278269905
fold_01_seed22,fold_02_seed33,0.969569479585648,0.9559945265800385
fold_01_seed22,fold_03_seed11,0.9800605794413217,0.9617313291562496
fold_01_seed22,fold_03_seed22,0.9837606383309645,0.9724312478780208
fold_01_seed22,fold_03_seed33,0.9781064968415326,0.9646203072111278
fold_01_seed22,fold_04_seed11,0.9831211440754918,0.9629803388993488
fold_01_seed22,fold_04_seed22,0.9846897562926515,0.9706081463419653
fold_01_seed22,fold_04_seed33,0.9772737509235139,0.9517166167680073
fold_01_seed22,fold_05_seed11,0.978223401126115,0.9682521065464983
fold_01_seed22,fold_05_seed22,0.9832140117199722,0.9794479253474901
fold_01_seed22,fold_05_seed33,0.9702295229242643,0.9449406874697779
fold_01_seed22,fold_06_seed11,0.981895483816699,0.9688838132864184
fold_01_seed22,fold_06_seed22,0.9681707406481658,0.9472185355515087
fold_01_seed22,fold_06_seed33,0.9755626999899161,0.9543957118018045
fold_01_seed22,fold_07_seed11,0.9803683298004358,0.9708365484531414
fold_01_seed22,fold_07_seed22,0.984990781339651,0.9773696719034537
