fold,split,delta,rank,roi_i,roi_j,delta_value,abs_delta_value,direction
fold_01,test,delta_A_31,6,88,164,0.21318146586418152,0.21318146586418152,increase
fold_01,test,delta_A_31,7,23,135,0.21205700933933258,0.21205700933933258,increase
fold_01,test,delta_A_31,8,123,135,0.21164537966251373,0.21164537966251373,increase
fold_01,test,delta_A_31,9,47,114,0.20994862914085388,0.20994862914085388,increase
fold_01,test,delta_A_31,10,25,88,0.20921853184700012,0.20921853184700012,increase
fold_01,test,delta_A_32,1,40,125,0.2226836383342743,0.2226836383342743,increase
fold_01,test,delta_A_32,2,54,110,0.21256357431411743,0.21256357431411743,increase
fold_01,test,delta_A_32,3,53,154,0.21144306659698486,0.21144306659698486,increase
fold_01,test,delta_A_32,4,40,154,0.20831690728664398,0.20831690728664398,increase
fold_01,test,delta_A_32,5,53,125,0.2081013172864914,0.2081013172864914,increase
fold_01,test,delta_A_32,6,54,62,0.20562009513378143,0.20562009513378143,increase
fold_01,test,delta_A_32,7,51,125,0.20543941855430603,0.20543941855430603,increase
fold_01,test,delta_A_32,8,40,159,0.2048596739768982,0.2048596739768982,increase
fold_01,test,delta_A_32,9,51,154,0.2042204737663269,0.2042204737663269,increase
fold_01,test,delta_A_32,10,40,126,0.20413780212402344,0.20413780212402344,increase
fold_04,train,delta_A_21,1,71,108,-0.1107979565858841,0.1107979565858841,decrease
fold_04,train,delta_A_21,2,88,102,-0.10077515244483948,0.10077515244483948,decrease
fold_04,train,delta_A_21,3,20,169,-0.09849276393651962,0.09849276393651962,decrease
fold_04,train,delta_A_21,4,19,151,0.0917394608259201,0.0917394608259201,increase
fold_04,train,delta_A_21,5,76,102,-0.09030027687549591,0.09030027687549591,decrease
fold_04,train,delta_A_21,6,77,97,-0.08891747891902924,0.08891747891902924,decrease
fold_04,train,delta_A_21,7,43,158,-0.08828908205032349,0.08828908205032349,decrease
fold_04,train,delta_A_21,8,67,77,-0.0859963521361351,0.0859963521361351,decrease
fold_04,train,delta_A_21,9,21,151,0.08597035706043243,0.08597035706043243,increase
fold_04,train,delta_A_21,10,30,74,-0.08558787405490875,0.08558787405490875,decrease
fold_04,train,delta_A_31,1,10,113,0.15668264031410217,0.15668264031410217,increase
fold_04,train,delta_A_31,2,112,142,0.15095385909080505,0.15095385909080505,increase
fold_04,train,delta_A_31,3,112,145,0.14803960919380188,0.14803960919380188,increase
fold_04,train,delta_A_31,4,10,107,0.14314578473567963,0.14314578473567963,increase
fold_04,train,delta_A_31,5,20,49,0.14117176830768585,0.14117176830768585,increase
fold_04,train,delta_A_31,6,19,49,0.13862645626068115,0.13862645626068115,increase
fold_04,train,delta_A_31,7,91,111,-0.1382313221693039,0.1382313221693039,decrease
fold_04,train,delta_A_31,8,10,114,0.13430321216583252,0.13430321216583252,increase
fold_04,train,delta_A_31,9,10,108,0.1311132311820984,0.1311132311820984,increase
fold_04,train,delta_A_31,10,113,145,0.12545034289360046,0.12545034289360046,increase
fold_04,train,delta_A_32,1,112,142,0.132709801197052,0.132709801197052,increase
fold_04,train,delta_A_32,2,71,89,0.12107411026954651,0.12107411026954651,increase
fold_04,train,delta_A_32,3,112,145,0.11998401582241058,0.11998401582241058,increase
fold_04,train,delta_A_32,4,112,154,0.11591670662164688,0.11591670662164688,increase
fold_04,train,delta_A_32,5,16,112,0.11517119407653809,0.11517119407653809,increase
