model_label,fold,n,AUROC,AUPRC,R@5,MRR,image_R@5,brain_R@5,brain_MRR
ROI-MLP+CLIP,fold_01,3,0.8220016623731285,0.7887931058688485,0.0629532927183057,0.05235704330484906,0.05541050188569766,0.07890919640266897,0.06362397137603727
ROI-MLP+CLIP,fold_02,3,0.8336716656529322,0.799886778429803,0.06730490281404115,0.055014320355544676,0.0601972729910066,0.06919060052219317,0.0597293326471268
ROI-MLP+CLIP,fold_03,3,0.8428206720826426,0.8214909800259588,0.10021036527060621,0.08000203309119193,0.10288774144195827,0.1174220692292981,0.0875219983638954
ROI-MLP+CLIP,fold_04,3,0.8604576826803237,0.8363983373149299,0.12125134843581441,0.09328579162365447,0.11887810140237322,0.12297734627831712,0.09470016368390786
ROI-MLP+CLIP,fold_05,3,0.8731006680043419,0.8519061376130641,0.09878154917319404,0.07613674475053979,0.08645198723527701,0.09704090513489987,0.07650361702021984
ROI-MLP+CLIP,fold_06,3,0.820239732802203,0.7889419597469601,0.06922929814496073,0.05997863673283816,0.06196213425129083,0.08318990246701087,0.06492047625361604
ROI-MLP+CLIP,fold_07,3,0.7048255657030001,0.6751666901976293,0.028865680301711567,0.028708969367577733,0.02770525094284883,0.02930084131128517,0.030823883537460402
ROI-MLP+CLIP,fold_08,3,0.7741812507200385,0.7545182913505893,0.07723840345199563,0.06325380510739063,0.0694714131607335,0.071413160733549,0.05669023232230539
Flat ReGraph+CLIP,fold_01,3,0.8231786927394641,0.8016135758636711,0.0652741514360313,0.05353999620877526,0.06251813170873216,0.0806498404409631,0.06864118561093656
Flat ReGraph+CLIP,fold_02,3,0.8361312658703738,0.8115043415168987,0.07194662024949224,0.059376283437436596,0.0681752248331882,0.09051348999129673,0.0703144978134433
Flat ReGraph+CLIP,fold_03,3,0.8487473375182559,0.8304132833346864,0.11417096959265627,0.08543226591149056,0.1076687703193727,0.12621916236374064,0.0911137969916167
Flat ReGraph+CLIP,fold_04,3,0.86619187761614,0.8480779470512031,0.14563106796116498,0.10667244800776493,0.13549083063646167,0.14412081984897512,0.1035075686065575
Flat ReGraph+CLIP,fold_05,3,0.8730498865955513,0.8513841613613811,0.09457499274731646,0.07353872424039193,0.0953002610966057,0.11241659413983167,0.08680930035635424
Flat ReGraph+CLIP,fold_06,3,0.818248048884882,0.7974448123099274,0.0812774909160451,0.06354561600250126,0.0743928093325683,0.09275196022183974,0.07370722296364826
Flat ReGraph+CLIP,fold_07,3,0.7206044445757375,0.7041160666384666,0.0356832027850304,0.032265794578719365,0.030606324340005736,0.04250072526834927,0.038164052866850894
Flat ReGraph+CLIP,fold_08,3,0.7822114696466662,0.7730659581891098,0.08306364617044226,0.06759774565492517,0.07551240560949293,0.08371089536138077,0.06705119491734193
Gated ReGraph+CLIP,fold_01,3,0.8386885784816099,0.8136869115603527,0.07093124456048733,0.058094930134272936,0.06759501015375687,0.09631563678561063,0.07376124337749651
Gated ReGraph+CLIP,fold_02,3,0.8439669729584106,0.8215447104322982,0.07238178125906583,0.056667777153069664,0.07093124456048734,0.08645198723527703,0.06890790332242598
Gated ReGraph+CLIP,fold_03,3,0.8487798693613348,0.8329288271920166,0.1151271753681392,0.08778511499154996,0.11302352266207683,0.12794033275960984,0.09783515888357826
Gated ReGraph+CLIP,fold_04,3,0.8710218088764606,0.8536152485445198,0.15447680690399127,0.1108543059363597,0.13700107874865153,0.1439050701186623,0.10515511333234394
Gated ReGraph+CLIP,fold_05,3,0.8783151833193076,0.8563445845150236,0.10400348128807653,0.07878026631428536,0.0944299390774586,0.11125616478096893,0.08737554979136003
Gated ReGraph+CLIP,fold_06,3,0.8305923746895898,0.813410226212928,0.0852935551730732,0.06802648491923223,0.088544654809715,0.10384394721744117,0.0808435871273975
Gated ReGraph+CLIP,fold_07,3,0.71105362617763,0.6870175926327957,0.0272700899332753,0.0257100118654618,0.0282854656222802,0.0374238468233246,0.036068698368807835
Gated ReGraph+CLIP,fold_08,3,0.7847939031500158,0.7731490373295067,0.08996763754045302,0.0702779770181859,0.07745415318230847,0.0893203883495145,0.06833793630733272
