nsdId,mean_same_image_similarity,std_same_image_similarity,n_pairs
40979,0.895431324839592,0.04445748254742164,12
6222,0.8970784842967987,0.04357658025194139,12
27972,0.8977291285991669,0.030863714675589664,12
53858,0.9016974121332169,0.02184368538760447,12
26780,0.9026376406351725,0.03923624582011889,12
34186,0.9031593551238378,0.03250102420105444,12
46642,0.9031927833954493,0.04835357635060763,12
62015,0.903379554549853,0.03307708871340259,24
56471,0.9034955352544785,0.016782072969533445,12
62275,0.9036128256056044,0.05632994703118992,18
41778,0.9038763244946798,0.0629144146814465,12
22845,0.9039554844299952,0.013549218711594611,12
8204,0.9041831543048223,0.030237727295516062,12
2950,0.9045185248057047,0.029989552501120627,12
51062,0.9045241475105286,0.024701882771721816,12
57681,0.9048562794923782,0.03633477898805021,12
58187,0.9061197688182195,0.05768541562157756,12
4058,0.9061771664354537,0.058540898473251675,18
53270,0.9068748503923416,0.03511987655026517,12
4612,0.9073089758555094,0.04506746158375761,12
9722,0.9077895432710648,0.024588516764838097,12
25602,0.9077944755554199,0.03052636290785515,12
11487,0.908003588517507,0.021129656664705218,12
5459,0.908340593179067,0.022305525848511455,12
12634,0.9084884921709696,0.024279764573574655,12
57060,0.9085971216360728,0.021732285022030215,12
43465,0.9087953120470047,0.025661947892922955,12
3181,0.9090840766827265,0.021502369790755323,12
34603,0.9096560825904211,0.021865691666051672,12
33289,0.9099913934866587,0.03111510436449972,12
47033,0.9103587915500005,0.03023216279601079,12
34874,0.9108608315388361,0.03151826529806269,12
10046,0.9108766118685404,0.04652266484663408,24
52892,0.9109368920326233,0.03417718653720445,12
33189,0.9109685172637304,0.021214085249806475,12
65187,0.9114537934462229,0.032977876038952594,12
13720,0.9114552868737115,0.026441853190351212,18
15819,0.9116068507234255,0.048035933454182556,24
37436,0.9117078185081482,0.02050371730841427,12
20223,0.911734809478124,0.029960929354191954,12
14121,0.9118827631076177,0.022526580887687688,12
61513,0.9120326439539591,0.02109057363612457,12
4436,0.9125316639741262,0.03305505487085687,12
20307,0.9127620309591293,0.01643067486931529,12
46523,0.9128095358610153,0.024580838074113914,12
7409,0.912864496310552,0.011970733406781587,12
21526,0.9129612843195597,0.027041994735509972,12
9847,0.9134432822465897,0.03517804437230348,12
55969,0.9136264870564142,0.023217848768982738,12
8465,0.9139539251724879,0.02170528196087184,12
41934,0.9141762008269628,0.02531835069846739,12
12798,0.9142404894034067,0.02206680617337903,12
27242,0.9143607268730799,0.0333972688705372,24
64483,0.9145048062006632,0.026832273844158285,12
71229,0.9145446916421255,0.026761803477389594,12
37927,0.9145973771810532,0.022848025404396587,12
22155,0.9146586457888285,0.020124254569275708,12
27580,0.9149242838223776,0.019021110606097128,12
25693,0.9149567087491354,0.021700343854762598,12
26119,0.9149594306945801,0.027509975397488777,12
48617,0.9151050051053365,0.05534120570719576,12
29980,0.915371889869372,0.02148345061716494,12
42126,0.915373628338178,0.0305222387033697,12
54389,0.915420005718867,0.03835401009979385,12
30601,0.9154492815335592,0.029931624148749173,12
41482,0.915683517853419,0.035772549247428946,12
65010,0.9158545682827631,0.02849694177171594,12
27830,0.9158718337615331,0.014766548831279898,12
41056,0.9159447782569461,0.03196846878627033,18
7954,0.9161348972055647,0.02170632982744716,18
18505,0.9162047207355499,0.025469408318530975,12
26598,0.9166258722543716,0.023535258763664448,12
54959,0.9169027854998907,0.01863875910401028,12
34089,0.917116234699885,0.02503700640788024,12
54698,0.9172431892818875,0.01838644047340724,18
22782,0.9172528435786566,0.021142225138817805,12
27287,0.9173034032185873,0.013593158631524509,12
43250,0.9175954560438792,0.023441098975040257,12
51745,0.9176245431105295,0.014723158247812992,12
54643,0.9176580558220545,0.016259164271559344,12
53157,0.9176906148592631,0.014100170896430482,12
4690,0.9177718882759412,0.029533250019094553,24
17942,0.9178264935811361,0.013998197739419816,12
25581,0.9181617101033529,0.02790059803157422,24
38310,0.9181695878505707,0.0206833012867555,12
26307,0.9181963553031286,0.030871808888659303,12
57478,0.9183243711789449,0.025380088637273354,12
13653,0.9183819691340128,0.031542274000464644,12
26435,0.9188695897658666,0.025874282100669527,24
19690,0.9190804908672968,0.01990917696534917,12
43852,0.9190961122512817,0.017216107335143695,12
46274,0.9191098146968417,0.036514753717996555,18
28595,0.9191229616602262,0.0510151900959155,24
51988,0.9191704243421555,0.01247926397210093,12
55678,0.9192173754175504,0.028556865664283688,24
52527,0.9192260007063547,0.02724587361119079,12
24264,0.9193916718165079,0.02187231624029474,12
63081,0.9194414714972178,0.019911808983852836,18
4156,0.9195457448561987,0.016229000456999758,12
27326,0.9195571392774582,0.029483653326762248,24
18543,0.9195818131168684,0.03194959666797781,24
40423,0.9195882106820742,0.02929155901067955,24
58096,0.9195971786975861,0.018904337646855684,12
28024,0.919614757100741,0.017090989673874707,12
43107,0.9196645021438599,0.014703544112175495,12
22495,0.9196780001123747,0.03226429285323439,24
28788,0.9197190039687686,0.02147750787766961,18
45843,0.9198527236779531,0.025014535411102237,24
40235,0.9199009984731674,0.02223484387308029,12
22585,0.9199211994806925,0.02679038367518545,12
23492,0.9200028677781423,0.01621304057745828,12
63944,0.9200655685530769,0.02361707640014923,18
22873,0.920073077082634,0.024206321729394506,12
16466,0.9200970778862635,0.019614298041839215,12
58164,0.9202093134323756,0.024791443751457837,12
11159,0.9202270855506262,0.034426453707712905,24
72510,0.9202708701292673,0.011990780033536848,12
30373,0.9202734629313151,0.016381449437941363,12
43157,0.9202776451905569,0.01360815267833105,12
31233,0.9203583722313246,0.02560342027299314,24
60094,0.9204231848319372,0.024696400155839963,24
31659,0.9204882209499677,0.029997063025045546,24
56066,0.9205274830261866,0.013713716100021804,12
17776,0.9205596215195126,0.02781837411400597,18
49969,0.9206618070602417,0.020491682543919153,12
43746,0.9207548201084137,0.02263186023999622,18
48393,0.9207819700241089,0.024198308841409444,12
12685,0.9210354950692918,0.01999075566606618,18
48839,0.9210871110359827,0.016864503676383088,12
43619,0.9210883056124052,0.024279292890201344,24
67113,0.9210962653160095,0.015902771346706597,12
46036,0.9211274633804957,0.028038861157523815,12
34418,0.921170304218928,0.013863852466935573,12
7840,0.9211732223629951,0.03216406753183827,24
69502,0.9211947520573934,0.027579255535404867,12
20206,0.9212464118997256,0.02701699171049819,24
18796,0.92126421795951,0.02111084856242115,18
42007,0.9213415011763573,0.03422766344511767,24
14931,0.9214022308588028,0.016335735212587167,12
9230,0.9214813113212585,0.018231717072945124,12
18690,0.9215119249290891,0.014595484110724718,18
61177,0.9215471868713697,0.04541425574667975,24
46835,0.921659615304735,0.018164857888180765,18
56454,0.9216658704810672,0.01997907167734626,18
23871,0.9216851194699606,0.01659122360144264,12
64004,0.9217851956685384,0.014007303389978175,12
64615,0.9217978964249293,0.017278791313214276,12
3729,0.9218437870343527,0.02184599613532037,12
4667,0.9219268436233202,0.02749824613704216,24
44138,0.9219510902961096,0.022937908141410737,12
10107,0.9220151255528132,0.03059698792724012,24
16063,0.9220581319597032,0.029471437178137053,18
25881,0.9220830649137497,0.02132282853387098,12
32716,0.9221435387929281,0.01846882915936066,12
51171,0.9221987227598826,0.017765902537109128,18
32303,0.9222004264593124,0.01907530111752581,12
24739,0.9223523338635763,0.025367712148470844,12
54361,0.9223643665512403,0.027432038465684823,24
40153,0.9224356214205424,0.019341716912170286,12
2990,0.9224779158830643,0.022498018266489263,12
72080,0.9224951797061496,0.0152384323893889,18
56269,0.9225129360953966,0.02374141090911877,24
42642,0.9225875437259674,0.020535926154727012,12
33543,0.9226438651482264,0.024664499839723523,24
44705,0.9226915587981542,0.023206700892184535,24
14820,0.9226920629541079,0.04694872564040307,24
43159,0.9227256799737612,0.026036351584431218,24
53511,0.9227419296900431,0.02159131929554275,12
71894,0.9227867722511292,0.024328183040413086,24
15492,0.9227917740742365,0.01346337250701779,12
69831,0.9228172401587168,0.026208239074047943,18
18483,0.9228874891996384,0.02213935305661545,12
7859,0.9228925506273905,0.02082437370796203,24
8225,0.9228964149951935,0.02297814631905248,24
38022,0.9229839319984118,0.03764417766234271,24
53773,0.9229896490772566,0.02136748026066856,24
68339,0.9230136622985204,0.022366109498918502,24
36569,0.9230805238087972,0.011947271105387177,12
40924,0.9231248249610265,0.021725360277764647,24
42299,0.9233098030090332,0.014690579825713635,12
31747,0.923339364429315,0.02598559106122523,24
46861,0.923452561100324,0.009215910473537444,12
6514,0.9235080579916636,0.01486663268417508,12
56948,0.9235167652368546,0.03013796264264632,24
67204,0.9235704839229584,0.02468443893060739,24
5583,0.9236548220117887,0.025952460792912246,24
24214,0.923656572898229,0.02755398208837741,24
67237,0.9237190037965775,0.024375676011572957,24
4051,0.9237381021181742,0.02126416060989621,24
43818,0.9237735892335573,0.023343921840509624,24
17450,0.9238607949680753,0.026858563580938556,18
19200,0.9238743732372919,0.018535233421314867,12
28286,0.9239313867357042,0.021148506620370974,18
69614,0.9239914491772652,0.020672402394504776,24
18268,0.9239930957555771,0.011403144493770936,12
56314,0.9240338057279587,0.026469589224864466,24
28325,0.9240416437387466,0.012143641552852186,12
17238,0.9241346021493276,0.022076881407489674,12
55005,0.9241705561677614,0.02624069263791608,24
21989,0.9242307643095652,0.01995918479785393,12
61972,0.9242394218842188,0.02334974156671481,12
10610,0.9242713004350662,0.017187153049957916,12
4249,0.9242751623193423,0.02781962473850932,24
22143,0.9242980231841406,0.019093321394003555,12
17595,0.9243516127268473,0.02447083681751782,18
35743,0.9243627314766248,0.027167651344868825,24
22387,0.9244549870491028,0.020409475172679614,18
24649,0.9244673848152161,0.020452275134473567,12
19292,0.9244792312383652,0.02652504964073376,12
63746,0.9245015134414037,0.0166940061265824,12
28745,0.9245017369588217,0.023094624800693696,18
7366,0.9245361362894376,0.01736246112206379,24
18434,0.924550287425518,0.026022820245561188,24
21508,0.924574280778567,0.01969038473746237,12
30407,0.9245915040373802,0.018932539754394778,24
26292,0.92463485399882,0.011407612475932041,12
66773,0.9246982013185819,0.028710028976132295,24
43164,0.9247273330887159,0.026221608379213463,24
63182,0.9247795194387436,0.02229090612111553,24
56681,0.9248443841934204,0.016311268579168026,24
30081,0.9248531758785248,0.02766340406518786,24
25746,0.9248551279306412,0.024187776569564508,24
34068,0.9248838159773085,0.022494805372792286,18
24638,0.9248912632465363,0.017456600960412644,12
61752,0.9249029159545898,0.02130279137266076,12
59631,0.9249113400777181,0.012810499128202672,12
47321,0.9249224563439687,0.012893974868138156,12
54683,0.9249386390050253,0.017935383607550467,12
70095,0.9249970192710558,0.01548523418508866,24
36759,0.9250744034846624,0.021781086866849243,12
12937,0.9251197328170141,0.018178776473277525,12
23729,0.9251338243484497,0.022268822781813878,24
34829,0.925142931441466,0.029986865616534547,24
26990,0.9251666069030762,0.018836096803920312,24
3951,0.9252101133267084,0.015320197305084403,12
53727,0.9252476120988528,0.021675682697261087,24
62209,0.9252846340338389,0.02908603046204744,24
27878,0.9253635952870051,0.023112809887003576,24
42946,0.9253726303577423,0.02196061899078067,24
40721,0.9253770137826601,0.02117874008316148,24
67802,0.9253774384657542,0.02371982623624352,24
51788,0.9254003688693047,0.028197504747517185,24
33171,0.9254200210173925,0.031744700085597835,24
56751,0.9254715243975321,0.015516294957110629,12
5338,0.925471896926562,0.025908981251684685,24
40840,0.9254824096957842,0.030119663498535402,24
14793,0.925500214099884,0.022671143137666022,24
26372,0.9255153636137644,0.01694124633261906,12
70335,0.9255224019289017,0.01161512033020178,12
3386,0.9255388147301145,0.017006164131705005,18
30672,0.925564780831337,0.026694102694149104,24
55933,0.9255940218766531,0.022774222910002015,12
56154,0.9256199647982916,0.018218717760355458,24
60845,0.9256210550665855,0.02518664992070694,24
4835,0.9256666029493014,0.022501451518906947,24
3449,0.925674170255661,0.03135995752308854,24
7120,0.9256963307658831,0.025127942448605466,24
29919,0.9257536182800928,0.01971088193826324,12
48157,0.9257579743862152,0.020367736148304838,24
43445,0.9257917553186417,0.02251783963366542,24
64096,0.9258346491389804,0.020039765222249747,18
71410,0.9259161104758581,0.02099670074728829,24
52596,0.9259249369303385,0.023290497818007027,12
47687,0.9259397784868876,0.03020460313294508,24
29021,0.9259544511636099,0.016203097214944867,12
11689,0.9259645839532217,0.01468387677467781,24
43820,0.9260401502251625,0.026895539487833717,24
8387,0.9261133869489034,0.01771291146572705,18
30847,0.9261175245046616,0.023307628902436785,12
65069,0.9261797989408175,0.02244143722038366,24
3049,0.9261883248885473,0.020905497875281977,24
42171,0.9262064173817635,0.028062304499118083,24
64621,0.9262066980202993,0.020902812267230002,18
3146,0.9263215015331904,0.02376534881261054,12
65376,0.9263591219981512,0.014938175264736953,24
24846,0.9263777062296867,0.029563187257413172,24
46321,0.9264130194981893,0.016390704204324258,18
59284,0.9264195238550504,0.021266347307988508,24
65686,0.9264295895894369,0.016932798579690808,24
9048,0.9264300440748533,0.01599277055992065,24
68311,0.9264644831418991,0.03528471478827203,24
60505,0.9264720852176348,0.025749994950626527,24
38794,0.9265165900190672,0.02217576112481533,24
16344,0.9265578215320905,0.018974915066108353,24
66946,0.9265598729252815,0.0273288424827093,24
49731,0.9265824680527052,0.01803782035778083,24
35752,0.9265888507167498,0.02739781674310741,24
69214,0.9266028131047884,0.03154437140302533,24
12922,0.9266389509042104,0.03091566595302359,24
70505,0.9266400213042895,0.013443574251069353,24
72719,0.9266451199849447,0.020079661147676703,24
53155,0.9266720240314802,0.019363488799646215,24
67045,0.9266722748676935,0.017798548164209047,12
32891,0.9266776119669279,0.022037892650105126,24
7418,0.9267241723007626,0.01755210054063325,18
64880,0.9267333274086317,0.021460939936668495,24
8415,0.9267500092585882,0.018165068625546944,12
39997,0.9267551476756731,0.01981985389804938,24
38246,0.9267973651488622,0.033276759308680244,24
40909,0.9268027544021606,0.022480309195805095,24
68858,0.9268326535820961,0.023235340438131434,24
52554,0.9268807445963224,0.021241440790491048,24
55526,0.926909069220225,0.02209211107196653,24
3809,0.9269782677292824,0.028528044566360978,24
49076,0.9270222634077072,0.014731727613087348,12
25588,0.9271013389031092,0.023422804022395872,24
43689,0.9271031444271406,0.02306303357769571,24
32910,0.92711274822553,0.020840224187209853,24
7948,0.9271298183335198,0.017869182245040596,18
26895,0.9271321296691895,0.019492780625240277,24
65920,0.9271851778030396,0.01613752288673036,24
48681,0.9271920820077261,0.026445793844922363,24
72312,0.9272389784455299,0.03425675411674507,24
59817,0.9272454033295313,0.02810759428960489,24
51185,0.9272504995266596,0.021226226364315013,24
21108,0.9272778754432996,0.028941681013253312,24
