model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim,readout,roi_id_mode
regraph_vlm_v0,bnt_token_flat,fold_02,11,2.0,0.8314083423660488,0.8061821595153552,0.7513054830287207,0.0165361183637946,0.0687554395126196,0.1192341166231505,0.0561626235823319,0.0152306353350739,0.0596170583115752,0.1096605744125326,0.0517486878024397,87.5,0.0213228894691035,0.0874673629242819,0.1496953872932985,0.0692060765917443,60.0,0.7813158638891508,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_02/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5181922967585405,4596,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_02,11,2.0,0.840837683049778,0.8077334909254735,0.7669712793733681,0.0174064403829416,0.0630983463881636,0.1174934725848564,0.0554208499012455,0.0169712793733681,0.0596170583115752,0.1074847693646649,0.0512582130071196,91.0,0.0139251523063533,0.0639686684073107,0.1318537859007832,0.0561377419106334,67.0,0.7882648903970424,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_02/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5171127984117071,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_03,11,2.0,0.8491370613179708,0.82673412451499,0.7670682730923695,0.0292598967297762,0.1113023522662076,0.1881812966150315,0.0837547462751776,0.0258175559380378,0.1095811818703385,0.180722891566265,0.0809485201175172,54.0,0.0298336201950659,0.1308089500860585,0.2111302352266207,0.0923484561760106,48.0,0.7914039442402153,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_03/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4829100250377097,3486,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_03,11,2.0,0.8396138442796677,0.8192604946240445,0.7544463568559954,0.0286861732644865,0.099827882960413,0.1686746987951807,0.0810391722140764,0.0252438324727481,0.1032702237521514,0.1663798049340218,0.076611440044292,59.0,0.0269650028686173,0.1164658634538152,0.1847389558232931,0.0834334604514547,49.0,0.7954191933473675,22,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_03/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4912001423567653,3486,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8715430295032519,0.8544784431471861,0.7841423948220064,0.0381877022653721,0.1508090614886731,0.2336569579288026,0.1076014404289168,0.0355987055016181,0.1300970873786407,0.2233009708737864,0.0982787674087955,43.0,0.0349514563106796,0.1462783171521035,0.2239482200647249,0.1029625549033025,39.0,0.8049873796881055,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_04/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4716501315434774,3090,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_04,11,2.0,0.8592013070663274,0.8369956247020431,0.7644012944983819,0.0297734627831715,0.1229773462783171,0.2103559870550161,0.0898811780121081,0.0310679611650485,0.1203883495145631,0.1954692556634304,0.0897509532401976,47.0,0.0394822006472491,0.1255663430420712,0.2155339805825242,0.0999139983498201,40.0,0.8019266660382693,16,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_04/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4745394439758992,3090,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_05,11,2.0,0.8723976500548023,0.8510201111021274,0.7876414273281114,0.0217580504786771,0.098781549173194,0.1692776327241079,0.0737569666255086,0.0269799825935596,0.0961705831157528,0.1692776327241079,0.07795261435812,54.0,0.0335073977371627,0.1170583115752828,0.1940818102697998,0.0906138546053979,49.0,0.7719341020726637,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_05/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4448576662932612,4596,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_05,11,2.0,0.8730644992694294,0.8513666643648012,0.7778503046127067,0.0243690165361183,0.1005221932114882,0.165361183637946,0.0757760862918198,0.0200174064403829,0.0739773716275021,0.1353350739773716,0.0626037154053102,64.0,0.0200174064403829,0.0892080069625761,0.1657963446475195,0.0709556531060866,57.0,0.7885740618552383,14,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_05/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4720963901079043,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_06,11,2.0,0.8236591970702251,0.8035908010993034,0.7469879518072289,0.0189328743545611,0.078600114744693,0.1376936316695352,0.0627183837050438,0.0177854274239816,0.0791738382099827,0.1290877796901893,0.0599633302860283,77.0,0.0235226620768789,0.0929432013769363,0.1526104417670682,0.0711360251989206,64.0,0.773143557356961,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_06/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5199042662627658,3486,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_06,11,2.0,0.8172220066233297,0.7833640882490849,0.751004016064257,0.0218014916810097,0.0711417096959265,0.1181870338496844,0.0607800614881985,0.0218014916810097,0.0631095811818703,0.1279403327596098,0.0605258038588601,74.0,0.0235226620768789,0.0877796901893287,0.1503155479059093,0.0694448403140199,65.0,0.7708096898859459,13,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_06/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.524249387553418,3486,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_07,11,2.0,0.7182025691542424,0.7044692903627362,0.6542645778938208,0.0087032201914708,0.036988685813751,0.0670147954743255,0.0325892394719015,0.005657093124456,0.0308964316797214,0.0600522193211488,0.028791450884279,174.0,0.010443864229765,0.0443864229765013,0.0831157528285465,0.0399944396032106,113.5,0.8000234601648496,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_07/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.663658201123861,4596,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_07,11,2.0,0.7000471897839798,0.6699004024448872,0.6353350739773717,0.0091383812010443,0.0282854656222802,0.0513489991296779,0.0282336434553954,0.0039164490861618,0.0248041775456919,0.0448215839860748,0.0237749249317895,184.0,0.0060922541340295,0.0248041775456919,0.0513489991296779,0.0282907025379768,136.0,0.789581801614981,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_07/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.6541916294861504,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_08,11,2.0,0.792550140865722,0.7802823056301307,0.7077669902912622,0.0265372168284789,0.086084142394822,0.148220064724919,0.069971368927534,0.0220064724919093,0.0783171521035598,0.1320388349514563,0.064125785342106,71.0,0.0200647249190938,0.0880258899676375,0.1488673139158576,0.0676956193284343,59.0,0.7417302365321644,16,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_08/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5922608603165759,3090,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_08,11,2.0,0.7791966988196605,0.7643095825761891,0.6896440129449838,0.0207119741100323,0.0802588996763754,0.1411003236245954,0.0641487264297764,0.0194174757281553,0.0705501618122977,0.1229773462783171,0.0603684765025734,79.0,0.0122977346278317,0.0731391585760517,0.1268608414239482,0.0561114458583691,73.0,0.7170731956724772,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_08/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5622717557987349,3090,180,4,512,,
