model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8479390638243722,0.8264370899752592,0.7663185378590078,0.0178416013925152,0.0718015665796344,0.1235857267188859,0.0596361747813828,0.0200174064403829,0.0691906005221932,0.1231505657093124,0.060288374021635,75.0,0.0287206266318537,0.1031331592689295,0.1736292428198433,0.0809886213108332,51.0,0.7944336569579288,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_0.1/fold_01/seed_11/metrics.json,0.1,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4862294258295296,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8023967562515102,0.7817113990609075,0.7241079199303743,0.02088772845953,0.0665796344647519,0.1118363794604003,0.055487326139106,0.0169712793733681,0.0591818973020017,0.1018276762402088,0.0514114023839256,94.5,0.0217580504786771,0.0831157528285465,0.1436031331592689,0.0674743238412561,60.0,0.7906511243074539,6,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_0.3/fold_01/seed_11/metrics.json,0.3,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.6028963039500284,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8465905949169861,0.8235276402561206,0.7593559617058312,0.0156657963446475,0.0704960835509138,0.124456048738033,0.0569725370209003,0.0187119234116623,0.0735422106179286,0.1270670147954743,0.0600117083317249,75.0,0.0243690165361183,0.0983463881636205,0.1753698868581375,0.0759414407936286,53.0,0.7937717451639593,9,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_1/fold_01/seed_11/metrics.json,1.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5024339072179338,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8647018778605168,0.8480904912430907,0.7663430420711974,0.0394822006472491,0.1411003236245954,0.2310679611650485,0.1060090316998326,0.0362459546925566,0.1346278317152103,0.2071197411003236,0.0953285794743827,45.0,0.0362459546925566,0.1249190938511326,0.2090614886731391,0.0963074858260525,42.0,0.7900237743634859,5,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_0.1/fold_04/seed_11/metrics.json,0.1,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.554418858355303,3090,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8637927964725967,0.8482393847571807,0.7831715210355987,0.0459546925566343,0.141747572815534,0.2381877022653721,0.1090934786899847,0.0343042071197411,0.1268608414239482,0.2142394822006472,0.0961175729357354,41.0,0.0388349514563106,0.1333333333333333,0.2343042071197411,0.1044055766616911,38.0,0.7905304720310847,9,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_0.3/fold_04/seed_11/metrics.json,0.3,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4788417796293894,3090,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8646750662435458,0.8451313619671255,0.7838187702265371,0.0388349514563106,0.143042071197411,0.2381877022653721,0.1056132678737448,0.0362459546925566,0.1281553398058252,0.2213592233009708,0.0971057530807608,40.0,0.0407766990291262,0.1436893203883495,0.2355987055016181,0.1054465293736338,39.0,0.7931613619463558,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_cross_infonce/bnt_token_flat_gated_flat_clip/lambda_2_cross_1/fold_04/seed_11/metrics.json,1.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4710383022487356,3090,180,4,512
