split,AUROC,AUPRC,R@1,R@5,R@10,MRR,median_rank,n_queries,n_pairs,n_positive,n_negative,fold,model
test,0.6013230859673429,0.6006379645138471,0.0017211703958691,0.0086058519793459,0.0172117039586919,0.0119497878831023,291.0,1743,3486,1743,1743,fold_06,raw_pearson_mean_beta
val,0.6300677621725789,0.6272797543853219,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_07,raw_pearson_flat
test,0.6296420961656596,0.6321481818462263,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_07,raw_pearson_flat
val,0.6285755281155413,0.6273694410839028,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_07,raw_cosine_flat
test,0.6239406916068083,0.6250112398559367,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_07,raw_cosine_flat
val,0.5680022203370304,0.5916681848948415,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_07,raw_pearson_mean_beta
test,0.5857153569797326,0.5982884127367688,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_07,raw_pearson_mean_beta
val,0.6309007113310776,0.6204002608787447,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_08,raw_pearson_flat
test,0.6158054482043548,0.6152160550357885,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_08,raw_pearson_flat
val,0.6249590024549292,0.613641556898088,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_08,raw_cosine_flat
test,0.6144914695070224,0.6134940219688142,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_08,raw_cosine_flat
val,0.5850014505366986,0.5999609063649819,0.0013054830287206,0.0065274151436031,0.0130548302872062,0.0094243478252384,383.5,2298,4596,2298,2298,fold_08,raw_pearson_mean_beta
test,0.559524722196039,0.5802937188625792,0.0019417475728155,0.0097087378640776,0.0194174757281553,0.0132472876216566,258.0,1545,3090,1545,1545,fold_08,raw_pearson_mean_beta
