model,graph_encoder,readout,fold,seed,lambda_clip,lambda_cross,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim,roi_id_mode
regraph_vlm_v0,bnt_token_flat,flat,fold_01,33,2.0,0.0,0.8268621596256933,0.8060825175636619,0.7506527415143602,0.0152306353350739,0.0704960835509138,0.1201044386422976,0.0557765238503537,0.0187119234116623,0.0648389904264577,0.1144473455178416,0.0548793350604826,88.0,0.0230635335073977,0.0835509138381201,0.1601392515230635,0.0701602670130548,58.5,0.7939493721263916,13,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_01/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.5100052241556949,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_02,11,2.0,0.0,0.8314083423660488,0.8061821595153552,0.7513054830287207,0.0165361183637946,0.0687554395126196,0.1192341166231505,0.0561626235823319,0.0152306353350739,0.0596170583115752,0.1096605744125326,0.0517486878024397,87.5,0.0213228894691035,0.0874673629242819,0.1496953872932985,0.0692060765917443,60.0,0.7813158638891508,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_02/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5181922967585405,4596,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_02,22,2.0,0.0,0.8373665260062673,0.8161878148114401,0.7567449956483899,0.0187119234116623,0.0761531766753698,0.1327241079199303,0.0627614540975546,0.0169712793733681,0.0748476936466492,0.129242819843342,0.0580381107311902,85.0,0.0239338555265448,0.0961705831157528,0.1684073107049608,0.0745964405001724,58.0,0.7839802683256355,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_02/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.4974888296258045,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_02,33,2.0,0.0,0.8396189292388053,0.8121430502239008,0.7591383812010444,0.0187119234116623,0.0709312445604873,0.1270670147954743,0.0592047726324233,0.0174064403829416,0.0700609225413402,0.1266318537859007,0.057694509615314,79.0,0.0191470844212358,0.0879025239338555,0.1466492602262837,0.0671409763484132,59.0,0.786081628805731,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_02/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.4996394834848359,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_03,11,2.0,0.0,0.8491370613179708,0.82673412451499,0.7670682730923695,0.0292598967297762,0.1113023522662076,0.1881812966150315,0.0837547462751776,0.0258175559380378,0.1095811818703385,0.180722891566265,0.0809485201175172,54.0,0.0298336201950659,0.1308089500860585,0.2111302352266207,0.0923484561760106,48.0,0.7914039442402153,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_03/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4829100250377097,3486,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_03,22,2.0,0.0,0.8490676088502852,0.8310034997926226,0.759609868043603,0.036144578313253,0.1170395869191049,0.187033849684452,0.0890345654560852,0.0240963855421686,0.1072862880091795,0.1715433161216293,0.0789840224534273,57.0,0.0286861732644865,0.1222030981067125,0.1950659781985083,0.0871358575526735,48.0,0.777960012986877,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_03/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.5131910495968708,3486,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_03,33,2.0,0.0,0.8480373423865118,0.8335022256964467,0.7693631669535284,0.0286861732644865,0.1141709695926563,0.1830177854274239,0.0835074860032089,0.0355708548479632,0.1061388410786001,0.174411933448078,0.0861700517417616,55.0,0.0332759609868043,0.1256454388984509,0.2053930005737234,0.093857077246166,48.0,0.7885824404855416,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_03/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.5146766132448024,3486,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_04,11,2.0,0.0,0.8715430295032519,0.8544784431471861,0.7841423948220064,0.0381877022653721,0.1508090614886731,0.2336569579288026,0.1076014404289168,0.0355987055016181,0.1300970873786407,0.2233009708737864,0.0982787674087955,43.0,0.0349514563106796,0.1462783171521035,0.2239482200647249,0.1029625549033025,39.0,0.8049873796881055,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_04/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4716501315434774,3090,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_04,22,2.0,0.0,0.8666637341460605,0.847634614938586,0.7705501618122976,0.0440129449838187,0.1411003236245954,0.2271844660194174,0.1067167214395342,0.0343042071197411,0.1378640776699029,0.2142394822006472,0.1001840619899875,42.0,0.0362459546925566,0.1398058252427184,0.231715210355987,0.1030289501185887,40.0,0.7999673233418167,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_04/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.4814485463895458,3090,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_04,33,2.0,0.0,0.8603688691991077,0.8421207830678368,0.7786407766990291,0.0388349514563106,0.1449838187702265,0.2220064724919093,0.1056991821548438,0.0414239482200647,0.1385113268608414,0.2297734627831715,0.1039469099973512,43.0,0.0362459546925566,0.1462783171521035,0.2336569579288026,0.1045312007977813,38.0,0.8097933620301421,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_04/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.4642105315302568,3090,180,4,512,normal
