table,graph_encoder,readout,lambda_clip,model,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,image_R@5_mean,image_R@5_std,image_MRR_mean,image_MRR_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std
table_cross_subject_seed11,bnt_token_flat,flat,0.0,regraph_vlm_v0,1,0.841770823514626,,0.8255690160827676,,0.1184466019417475,,0.0908963820233652,,0.0045307443365695,,0.0099039995274779,,0.0097087378640776,,0.0119763353777946,
table_cross_subject_seed11,bnt_token_flat,,0.0,regraph_vlm_v0,7,0.808892088932186,0.052137666199469655,0.7838047688961094,0.05038882692835774,0.06967084780292172,0.02282485660665267,0.05770427200212867,0.01790019190656699,0.007083109751589172,0.00282737671198153,0.010193031585604157,0.00201974059003829,0.007763795724678014,0.0015219724345506946,0.010229448296351,0.0014612759156283643
table_cross_subject_seed11,bnt_token_flat,,2.0,regraph_vlm_v0,8,0.8242576921747753,0.05013670921204751,0.804785332931294,0.047511386641753,0.08729201760853572,0.034027560598072895,0.0677300797002335,0.02215697977296005,0.08081456475602014,0.03110270661685626,0.06390697143194728,0.021629148835301606,0.09799899434416484,0.032339410101724454,0.07531006471470922,0.019621726271977634
table_cross_subject_seed11,roi_mlp,,2.0,regraph_vlm_v0,8,0.8161575546040598,0.054921619034985374,0.7898727462403792,0.056427596880438,0.07886885428242771,0.02908011896496197,0.063456842997065,0.01925338201770394,0.0716447721261699,0.02926734248302046,0.059015095972944964,0.019684325640047323,0.08142849896596992,0.03156855328355512,0.06538833651103712,0.021233816918324863
