model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.7884222743354989,0.7533355855965093,0.7204090513489991,0.0204525674499564,0.0757180156657963,0.1344647519582245,0.0635182484085347,0.0217580504786771,0.0770234986945169,0.1318537859007832,0.0641509788189556,73.0,0.0304612706701479,0.1044386422976501,0.1788511749347258,0.0827322704391809,49.5,0.7549099820906777,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5551844884822221,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,22,2.0,0.7852328925671167,0.756541573486435,0.7151871192341166,0.02088772845953,0.082680591818973,0.134029590948651,0.0632672211720825,0.0187119234116623,0.0652741514360313,0.1153176675369886,0.0574759885396781,80.0,0.0230635335073977,0.0957354221061792,0.1623150565709312,0.0738832481003486,55.5,0.7509198688744357,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5693343579509759,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,33,2.0,0.7652417131936727,0.7371443760388356,0.6884247171453437,0.02088772845953,0.0691906005221932,0.1227154046997389,0.0595197452755671,0.016100957354221,0.0604873803307223,0.1105308964316797,0.0512265079561104,93.0,0.0156657963446475,0.0813751087902523,0.1536118363794604,0.0641238437430094,65.0,0.7518609985232664,6,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.6549633536990359,4596,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.827868581183691,0.803653394950299,0.7411003236245954,0.0485436893203883,0.1650485436893204,0.2537216828478964,0.118575228470426,0.0375404530744336,0.1501618122977346,0.2407766990291262,0.105868622865,37.0,0.0446601941747572,0.1540453074433657,0.2394822006472491,0.1126204545495419,35.0,0.7453302751332725,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5167640870635949,3090,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,22,2.0,0.8239599501471497,0.7994799884548275,0.7349514563106796,0.0478964401294498,0.1411003236245954,0.2440129449838187,0.1116537731137722,0.0440129449838187,0.1411003236245954,0.2174757281553398,0.1068640009894568,42.0,0.0427184466019417,0.1501618122977346,0.2446601941747573,0.1100564456529701,38.0,0.7506104879504822,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_22/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5467098267718812,3090,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,33,2.0,0.8276955624679255,0.802204719842633,0.7495145631067961,0.0388349514563106,0.1527508090614886,0.2446601941747573,0.1090363696789002,0.0478964401294498,0.146925566343042,0.231715210355987,0.111757958094266,39.0,0.0491909385113268,0.1644012944983818,0.2563106796116505,0.1201687270208404,37.0,0.7501052565431866,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/bnt_gated/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_33/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5157224392427981,3090,180,4,512
