model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8523882077643451,0.8337749264563327,0.7549019607843137,0.0631808278867102,0.2396514161220043,0.3747276688453159,0.1654709230115859,0.0130718954248366,0.0305010893246187,0.0588235294117647,0.0408512810853743,79.0,0.0021786492374727,0.0305010893246187,0.0806100217864923,0.0350132573593937,74.0,0.7884444444444444,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4894788860625431,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,22,2.0,0.849435876989382,0.8343662411383181,0.7570806100217865,0.0784313725490196,0.2505446623093681,0.3769063180827887,0.1795592590887486,0.0065359477124183,0.037037037037037,0.0806100217864923,0.038617874683945,78.0,0.0065359477124183,0.0348583877995642,0.0697167755991285,0.0362997093111965,80.0,0.7901333333333334,14,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4795072106624221,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_01,33,2.0,0.860314883639246,0.8387885615170353,0.7821350762527233,0.074074074074074,0.2352941176470588,0.3485838779956427,0.1692384267140436,0.0065359477124183,0.0392156862745098,0.0718954248366013,0.0383352775669813,76.0,0.008714596949891,0.0348583877995642,0.0588235294117647,0.0376058434285548,73.0,0.7803111111111111,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5318421663022509,918,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,11,2.0,0.8451777777777778,0.8212754422481587,0.74,0.0966666666666666,0.3133333333333333,0.51,0.2237154032238014,0.02,0.0633333333333333,0.0966666666666666,0.0621628824792558,50.0,0.0066666666666666,0.06,0.1133333333333333,0.054873373522239,49.5,0.7879109977324263,19,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4862056946754455,600,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,22,2.0,0.8654555555555555,0.8377255518254096,0.76,0.1233333333333333,0.36,0.5266666666666666,0.2559137523205277,0.01,0.05,0.0866666666666666,0.0509455946265213,56.0,0.0066666666666666,0.0466666666666666,0.1033333333333333,0.0484306235152582,49.0,0.7869543650793651,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_22/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.4785131057103475,600,180,4,512
regraph_vlm_v0,bnt_token_flat,fold_04,33,2.0,0.8605333333333334,0.8499147936694146,0.7533333333333333,0.1366666666666666,0.35,0.5266666666666666,0.2516009459539756,0.01,0.06,0.13,0.0555697069765221,49.0,0.01,0.0433333333333333,0.1,0.0506465004288039,53.0,0.7814625850340136,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/heldout_image_random_embedding/bnt_token_flat_gated_flat_clip/lambda_2/fold_04/seed_33/metrics.json,0.0,gated_flat,normal,bce_infonce_clip,0.07,0.1,0.5370725973447164,600,180,4,512
