table,graph_encoder,readout,lambda_clip,lambda_cross,model,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,image_R@5_mean,image_R@5_std,image_MRR_mean,image_MRR_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std
table_cross_subject_infonce,bnt_token_flat,gated_flat,2.0,0.1,regraph_vlm_v0,2,0.8563204708424446,0.01185309947672681,0.8372637906091749,0.015311266872237037,0.10645094510211489,0.04900162103429097,0.0828226032406077,0.03279056159002936,0.10190921611870175,0.046271109918654275,0.07780847674800885,0.024777166889807734,0.11402612656003105,0.015404982077562324,0.08864805356844285,0.01083207297878954
table_cross_subject_infonce,bnt_token_flat,gated_flat,2.0,0.3,regraph_vlm_v0,2,0.8330947763620534,0.04341355637833226,0.8149753919090441,0.04704238982451647,0.10416360364014295,0.05315175893565036,0.08229040241454535,0.03790527398204687,0.09302136936297495,0.04785624033217382,0.0737644876598305,0.03161203635806705,0.1082245430809399,0.03550919170971612,0.0859399502514736,0.0261143393070444
table_cross_subject_infonce,bnt_token_flat,gated_flat,2.0,1.0,regraph_vlm_v0,2,0.855632830580266,0.012787652309184092,0.834329501111623,0.015276138120718636,0.1067690773741624,0.05129775981271367,0.08129290244732254,0.03439419062791607,0.10084877521187689,0.038617313990578654,0.07855873070624285,0.026229450583680536,0.12101785427598499,0.03206229485498791,0.0906939850836312,0.020863248214431435
