model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,lambda_cross,readout,roi_id_mode,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim
regraph_vlm_v0,roi_mlp,fold_01,11,2.0,0.7780853067070848,0.740092829272359,0.7077893820713663,0.0182767624020887,0.0691906005221932,0.1235857267188859,0.0576661133454373,0.0143603133159268,0.0687554395126196,0.1205395996518712,0.0556914770671055,79.0,0.0230635335073977,0.0879025239338555,0.1570931244560487,0.071514133176383,57.0,0.7568513107319781,13,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_01/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.574748077581404,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,22,2.0,0.7806781883970698,0.7417262872676587,0.7108355091383812,0.0152306353350739,0.0744125326370757,0.1261966927763272,0.058858940718773,0.0187119234116623,0.0683202785030461,0.1179286335944299,0.0573779349185754,76.5,0.0204525674499564,0.0879025239338555,0.1579634464751958,0.0687215653588777,60.0,0.7519904483614541,15,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_01/seed_22/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5628540042278765,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_01,33,2.0,0.7588639911649817,0.7216401917832397,0.6866840731070496,0.0134899912967798,0.067449956483899,0.1170583115752828,0.0532562473256894,0.0143603133159268,0.0561357702349869,0.1005221932114882,0.0487728352274824,98.5,0.0221932114882506,0.0879025239338555,0.1492602262837249,0.0683594340913463,67.0,0.7569895581319843,15,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_01/seed_33/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5803462423585206,4596,180,4,512
regraph_vlm_v0,roi_mlp,fold_04,11,2.0,0.8094431352834596,0.7837058723243434,0.7330097087378641,0.031715210355987,0.115210355987055,0.2116504854368932,0.0910490036831534,0.033009708737864,0.1171521035598705,0.1948220064724919,0.091017802888898,47.0,0.031715210355987,0.1236245954692556,0.2148867313915857,0.0956931047263745,40.0,0.7458526827326902,23,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_04/seed_11/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.527645539774478,3090,180,4,512
regraph_vlm_v0,roi_mlp,fold_04,22,2.0,0.8171037169698684,0.7876920652132324,0.7436893203883495,0.0355987055016181,0.1359223300970873,0.229126213592233,0.1011681213597727,0.0381877022653721,0.1242718446601941,0.1980582524271844,0.0946094404971682,45.0,0.0388349514563106,0.1307443365695793,0.2103559870550161,0.101630585608669,36.0,0.7491823504152658,14,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_04/seed_22/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5331756359936736,3090,180,4,512
regraph_vlm_v0,roi_mlp,fold_04,33,2.0,0.813160733549083,0.786340968638295,0.7417475728155339,0.0336569579288025,0.119093851132686,0.202588996763754,0.0905856064632304,0.0349514563106796,0.1281553398058252,0.1967637540453074,0.093981062607988,50.0,0.0394822006472491,0.1281553398058252,0.2116504854368932,0.1012014339639735,40.0,0.7377643719692923,24,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_hardneg/roi_mlp/roi_mlp_clip/lambda_2/fold_04/seed_33/metrics.json,0.0,flat,normal,bce_infonce_clip,0.07,0.1,0.5224731145939009,3090,180,4,512
